,PRIVACY,,,,,,,,,,,,TECHNICAL,,,,,,,,ACCOUNTABILITY,,,,,,,,,,,,,PRICING,,,,,,
Sheet last updated 3/20/2016,JURISDICTION,,LOGGING,,,,,ACTIVISM,,,,,SERVICE CONFIGURATION,,,,,AVAILABILITY,,,BUSINESS,,,,RESPECT FOR USERS SECURITY,,,,RESPECT FOR USERS PRIVACY,,,,,,,,,,,
,,,ACTIVITY,,CONNECTION,,,,,,,,,PROTOCOLS,,PORT BLOCKING,,,,,PRACTICES,,,AFFILIATES,ENCRYPTION,,,,COOKIES,,WEBSITE,,,,,,,,,
VPN SERVICE,Based in (Country),"""Fourteen Eyes"" Country",Traffic,DNS Requests,Timestamps,Bandwidth,IP Address,Anonymous Payment Method,Accepts Bitcoin,PGP Key Available,Warrant Canary,Meets PrivacyToolsIO Criteria,Own DNS Servers,Offers PPTP,Offers OpenVPN,Blocks SMTP (Authent.),Blocks P2P,# of Simultaneous Connections,# of Countries,# of Servers,Contradictory Logging Policies,Falsely Claims Service is 100% Effective,Incentivizes social media spam,Affiliates steal intellectual property,Weakest Data Encryption,Strongest Data Encryption,Weakest Handshake Encryption,Strongest Handshake Encryption,# of Persistent Cookies set by Website,# of External Trackers on Website,# of Proprietary API's Used on Website,Server SSL Rating,SSL Certificate issued to,$ / Month - (Annual Pricing),$ / Connection / Month,Free Trial Available,Refund Window (Days),,Comment In,Comment
AceVPN,USA,Yes,,,Yes,,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Some,2,22,,Yes,Yes,,,,,,,4,1,10,A,Self,$4.59 ,$2.30 ,No,7,,$D$2,"These metrics are collected from the official websites and other reuptable sources.  This section takes each company at their word.  It's up to the user to decide who is trustworthy.

The term ""logging"" is referring to LONG TERM storage of this information, and not REAL TIME ""monitoring"".

Again - just because a company may not log, this does NOT mean that you can't be monitored in real time by the service."
ActiVPN,France,Yes,,,,,,Email,Yes,Yes,Yes,No,No,Yes,Yes,,,5,13,20,,,,,,,See Note,See Note,0,0,0,A+,Self,$3.34 ,$0.67 ,No,See Note,,$D$3,"Activity logs contain information on how you used the VPN service. What sites are visited, what is being downloaded, etc."
AirVPN,Italy,Yes,No,,,,,Email,Yes,Yes,No,Yes,Yes,No,Yes,No,No,3,16,113,,,,Yes,AES-256,AES-256,RSA-4096,RSA-4096,3,0,0,A+,Self,$4.93 ,$1.64 ,Yes,3,,$F$3,"Connection logs contain the metadata about your VPN session.  When you connected, for how long, where you connected from, how much data you used, how many devices you connected with, etc."
Anonine,UK,Yes,No,,Yes,,Yes,Email,Yes,No,No,No,No,Yes,Yes,,,5,22,80,Yes,,,,,,See Note,See Note,6,2,29,C,Self,$3.99 ,$0.80 ,No,0,,$G$4,"Some services limit the bandwidth of the user. When a company's privacy policy explicitly states no bandwidth usage logging, you can be more sure they're serious and don't have an invisible, unadvertised cap."
Anonymizer,USA,Yes,No,,Yes,No,Yes,Email,No,No,No,No,Yes,Yes,Yes,No,No,6,,,Yes,,,,,,,,14,4,19,A-,Self,$6.67 ,$1.11 ,Yes,45,,$I$4,"Service offers at least one payment method that does not require personal information.

""Email"" in this field is considered better than a No, since it may or may not be tethered to an individuals identity.

This does NOT count companies that claim that you can just falsify personal info and technically be anonymous.  It's to highlight companies that don't ask for it in the first place."
Astrill,Seychelles,No,,,Yes,,Yes,No,Yes,No,No,No,No,Yes,Yes,,Some,2,54,254,,,,Yes,SSL-128,SSL-128,,,4,1,2,A-,Self,$5.83 ,$2.92 ,Yes,7,,$L$4,"Note that not all companies use effective warrant canaries.  A ""yes"" in this field does not guarantee quality, only that they claim to have a system in place.  Please research the details for yourself.  

Also note that there is some debate as to the effectiveness of a warrant canary between experts - as force can be used by governments to coerce companies into maintaining them."
AzireVPN,Sweden,Yes,No,No,No,No,No,Email,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,5,2,5,,,,,,AES-256,,,1,0,0,A+,Self,$4.11 ,$0.82 ,No,7,,$M$4,"Does not log traffic.

Operating outside the USA or other Five Eyes countries.

Has OpenVPN software support.

File-Sharing (P2P) is tolerated on selected servers.

Accepts Bitcoin, cash, debit cards or cash cards as a payment method.

No personal information is required to create an account. Only username, password and Email.

More info at privacytools.io"
BeeVPN,Denmark,Yes,,,,,,Email,Yes,No,No,No,No,Yes,No,,No,1,4,,,,,,,AES-256,,,4,1,12,C,Self,$7.17 ,$7.17 ,No,0,,$N$4,"This field is a ""No"" unless all DNS servers are run by the "
BlackVPN,Hong Kong,No,No,No,No,,No,Email,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Some,3,14,27,,,,,AES-256,AES-256,RSA-4096,RSA-4096,4,1,8,A,CloudFlare,$9.03 ,$3.01 ,No,14,,$O$4," If you are only concerned with Geo-unblocking for TV and so forth, this field is much less important."
Blockless,Canada,Yes,,,,,,Email,No,No,No,No,Yes,Yes,No,,,1,,,,,,,,,,,5,3,9,A,CloudFlare,$4.17 ,$4.17 ,No,0,,$Q$4,"A ""Some"" in this field means that the companies' support team may be willing to whitelist your E-Mail providers SMTP server upon request.  Another possibility is the company supports some workaround method."
BolehVPN,Malaysia,No,,,,,,No,Yes,Yes,Yes,No,Yes,No,Yes,,Some,2,14,,Yes,,,Yes,,,,,6,2,7,A,CloudFlare,$6.67 ,$3.34 ,Yes,14,,$R$4,"Services marked as blocking ""Some"" P2P, usually only blocks it on servers dedicated for streaming.  Other possibilities are that P2P user is throttled - or worse banned.  The user is responsible for researching further based on their needs."
